,name,rating,reviews,company_type,headquaters,company_age,employees
0,TCS,3.9,(54.2k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(34.4k Reviews),Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(31.6k Reviews),Private,Teaneck. New Jersey. + 103 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(35.5k Reviews),Public,"Mumbai,Maharashtra + 1083 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(41.8k Reviews),Public,"Mumbai,Maharashtra + 1305 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(30.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(30.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(25.5k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.9k Reviews),Public,"Pune,Maharashtra + 214 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.6k Reviews),Public,"New York,New York + 70 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(19.8k Reviews),Public,"Noida,Uttar Pradesh + 144 more",32 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,(19.8k Reviews),Public,"Seattle,Washington + 388 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19.6k Reviews),Public,"Mumbai,Maharashtra + 1136 more",30 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.0,(15.8k Reviews),Public,"Fremont,California + 72 more",40 years old,10k-50k Employees (India)
14,IBM,4.2,(16k Reviews),Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
15,Reliance Jio,4.0,(15.6k Reviews),Public,"Navi Mumbai,Maharashtra + 1026 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(25.4k Reviews),Public,"Mumbai,Maharashtra + 539 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4.0,(14k Reviews),Private,"Ahmedabad,Gujrat + 817 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,(13.6k Reviews),Public,"Gandhinagar,Gujrat + 579 more",5 years old,10k-50k Employees (India)
19,Teleperformance,3.6,(15.3k Reviews),Private,Paris + 123 more,45 years old,50k-1 Lakh Employees (India)
20,Reliance Retail,4.1,(18.2k Reviews),Private,"Navi Mumbai,Maharashtra + 747 more",17 years old,1 Lakh+ Employees (Global)
21,Kotak Mahindra B...,3.9,(14.2k Reviews),Public,"Mumbai,Maharashtra + 486 more",20 years old,10k-50k Employees (India)
22,Deloitte,4.1,(11k Reviews),Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
23,Reliance Industr...,4.1,(47.7k Reviews),Public,"Navi Mumbai,Maharashtra + 527 more",50 years old,10k-50k Employees (India)
24,Bharti Airtel,4.1,(12.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
25,BYJU'S,3.4,(14.4k Reviews),Private,"Bangalore,Karnataka + 266 more",12 years old,1k-5k Employees (India)
26,Tata Motors,4.1,(12.5k Reviews),Public,"Pune,Maharashtra + 396 more",78 years old,10k-50k Employees (India)
27,Flipkart,4.2,(12.8k Reviews),Public,"Bangalore,Karnataka + 470 more",16 years old,10k-50k Employees (India)
28,WNS,3.7,(7.4k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
29,IndusInd Bank,3.8,(7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 583 more",29 years old,10k-50k Employees (India)
30,Mahindra & Mahin...,4.2,(8.8k Reviews),Public,"Mumbai,Maharashtra + 427 more",78 years old,1 Lakh+ Employees (India)
31,Ernst & Young,3.8,(6.9k Reviews),Private,London + 75 more,34 years old,10k-50k Employees (India)
32,DXC Technology,3.9,(7.3k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
33,Infosys BPM,3.9,(6.1k Reviews),"Bangalore/Bengaluru,Karnataka + 50 more",21 years old,10k-50k Employees (India),
34,Maruti Suzuki,4.2,(6.1k Reviews),Public,"New Delhi,Delhi + 382 more",40 years old,10k-50k Employees (India)
35,Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 78 more",23 years old,10k-50k Employees (India)
36,IDFC FIRST Bank,4.0,(5.7k Reviews),Public,"Mumbai,Maharashtra + 442 more",5 years old,10k-50k Employees (India)
37,Bajaj Finserv,4.0,(5.6k Reviews),Public,"Pune,Maharashtra + 711 more",16 years old,10k-50k Employees (India)
38,HSBC,4.1,(6k Reviews),Private,"Pune,Maharashtra + 53 more",21 years old,1k-5k Employees (India)
39,Ericsson,4.3,(5.6k Reviews),Private,"Stockholm,Stockholm County + 134 more",147 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.4k Reviews),Private,"Mumbai,Maharashtra + 168 more",21 years old,10k-50k Employees (India)
41,Mphasis,3.7,(5.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,10k-50k Employees (India)
42,Startek,3.3,(5k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
43,Dr. Reddy's,4.2,(5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 137 more",37 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.8,(5.3k Reviews),Private,"Pittsford,New York + 42 more",37 years old,10k-50k Employees (India)
45,Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 331 more",7 years old,1k-5k Employees (India)
46,Cipla Pharmaceut...,4.1,(5k Reviews),Public,"Mumbai,Maharashtra + 191 more",88 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.8k Reviews),Public,"Mumbai,Maharashtra + 379 more",19 years old,10k-50k Employees (India)
48,Asian Paints,4.2,(5k Reviews),Public,"Mumbai,Maharashtra + 356 more",81 years old,10k-50k Employees (India)
49,HDFC Life,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 431 more",1 years old,10k-50k Employees (India)
50,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 317 more",17 years old,10k-50k Employees (India)
51,iEnergizer,4.2,(4.6k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
52,NTT DATA,4.0,(4.8k Reviews),Private,"Chiyoda City,Tokyo + 43 more",35 years old,10k-50k Employees (India)
53,ICICI Prudential...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 406 more",23 years old,10k-50k Employees (India)
54,PwC,3.8,(4.5k Reviews),Partnership,"London,United Kingdom + 67 more",143 years old,10k-50k Employees (India)
55,Lupin,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 136 more",55 years old,10k-50k Employees (India)
56,HCL Group,3.8,(25.7k Reviews),Chennai + 70 more,47 years old,50k-1 Lakh Employees (India),
57,EXL Service,3.9,(5.5k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
58,UltraTech Cement,4.2,(4.9k Reviews),Public,"Mumbai,Maharashtra + 355 more",40 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 67 more",27 years old,10k-50k Employees (India)
60,Indian Army,4.7,(4.2k Reviews),Public,"New Delhi,Delhi + 275 more",128 years old,1 Lakh+ Employees (India)
61,Bajaj Finance,4.1,(4.7k Reviews),Private,"Pune,Maharashtra + 646 more",36 years old,10k-50k Employees (India)
62,KPMG,3.8,(4.3k Reviews),Partnership,Bengaluru/Bangalore + 64 more,36 years old,10k-50k Employees (India)
63,Paytm,3.7,(4.7k Reviews),Public,Noida + 246 more,13 years old,10k-50k Employees (India)
64,Mindtree,4.1,(4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old,10k-50k Employees (India)
65,ITC,3.9,(7.5k Reviews),Public,"Kolkata,West Bengal + 248 more",48 years old,5k-10k Employees (India)
66,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 102 more,11 years old,5k-10k Employees (India)
67,Hindustan Unilev...,4.3,(4.6k Reviews),Public,"Mumbai,Maharashtra + 369 more",90 years old,10k-50k Employees (India)
68,Bandhan Bank,3.9,(4k Reviews),Public,"Kolkata,West Bengal + 589 more",22 years old,50k-1 Lakh Employees (India)
69,Ujjivan Small Fi...,4.1,(3.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 385 more",6 years old,10k-50k Employees (India)
70,IIFL,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 531 more",28 years old,1k-5k Employees (India)
71,JP Morgan Chase,4.2,(3.8k Reviews),Private,"New York,New York + 21 more",23 years old,10k-50k Employees (India)
72,Wells Fargo Indi...,4.2,(3.8k Reviews),Public,"San Francisco,California + 12 more",171 years old,10k-50k Employees (India)
73,Delhivery,4.1,(4.1k Reviews),Private,"Delhi,NCT + 493 more",12 years old,10k-50k Employees (India)
74,OPPO,4.0,(3.9k Reviews),Public,"Dongguan,Guangdong + 339 more",19 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(4k Reviews),Public,"Mumbai,Maharashtra + 709 more",44 years old,10k-50k Employees (India)
76,Sun Pharmaceutic...,4.1,(4.1k Reviews),Public,Mumbai + 161 more,40 years old,10k-50k Employees (India)
77,Zydus Cadila,4.2,(4.8k Reviews),Public,"Ahmedabad, India + 120 more",71 years old,10k-50k Employees (India)
78,Ashok Leyland,4.1,(3.6k Reviews),Public,"Chennai,Tamil Nadu + 192 more",75 years old,10k-50k Employees (India)
79,Shapoorji Pallon...,4.3,(6.9k Reviews),Private,"Mumbai,Maharashtra + 139 more",158 years old,5k-10k Employees (India)
80,Aurobindo Pharma,4.0,(3.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",37 years old,10k-50k Employees (India)
81,Vivo,4.1,(3.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 337 more",14 years old,5k-10k Employees (India)
82,AU Small Finance...,4.0,(4.6k Reviews),Private,"Jaipur,Rajasthan + 312 more",27 years old,10k-50k Employees (India)
83,Mahindra & Mahin...,4.3,(5.1k Reviews),Public,"Mumbai,Maharashtra + 577 more",32 years old,10k-50k Employees (India)
84,TATA Steel,4.1,(5.1k Reviews),Public,"Mumbai,Maharashtra + 124 more",116 years old,10k-50k Employees (India)
85,Hexaware Technol...,3.7,(3.4k Reviews),Public,"Mumbai,Maharashtra + 31 more",33 years old,10k-50k Employees (India)
86,Siemens,4.2,(5.1k Reviews),Public,"Munich,Bavaria + 103 more",176 years old,5k-10k Employees (India)
87,Max Life Insuran...,4.2,(3.3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 314 more",23 years old,10k-50k Employees (India)
88,Apollo Hospitals,4.1,(5.6k Reviews),Public,"San Francisco,California + 162 more",40 years old,50k-1 Lakh Employees (India)
89,Quess,3.9,(9.7k Reviews),Public,Bangalore + 384 more,16 years old,1k-5k Employees (India)
90,JSW Steel,3.9,(3.6k Reviews),Public,"Mumbai,Maharashtra + 102 more",41 years old,10k-50k Employees (India)
91,eClerx,3.6,(3.3k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
92,First Source,3.9,(3.3k Reviews),Public,"Mumbai,Maharashtra + 46 more",22 years old,10k-50k Employees (India)
93,Nokia,4.2,(4.7k Reviews),Private,"Espoo,Southern Finland + 169 more",158 years old,10k-50k Employees (India)
94,Hewlett-Packard ...,4.3,(3.6k Reviews),Private,"Houston,Texas + 85 more",8 years old,5k-10k Employees (India)
95,Oracle,3.9,(4.1k Reviews),Public,"Austin,Texas + 35 more",46 years old,50k-1 Lakh Employees (India)
96,Tata Projects,4.2,(3.3k Reviews),Public,"Mumbai,Maharashtra + 207 more",44 years old,10k-50k Employees (India)
97,JLL,4.2,(3.2k Reviews),Private,"Mumbai,Maharashtra + 60 more",26 years old,5k-10k Employees (India)
98,Hero MotoCorp,4.2,(3.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 272 more",39 years old,5k-10k Employees (India)
99,JustDial,3.6,(3.1k Reviews),Public,"Mumbai,Maharashtra + 137 more",27 years old,10k-50k Employees (India)
100,Reliance Communi...,4.0,(3.8k Reviews),Public,"Navi Mumbai,Maharashtra + 378 more",21 years old,10k-50k Employees (India)
101,Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 55 more",23 years old,10k-50k Employees (India)
102,Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
103,Future Group,4.2,(9.8k Reviews),Private,"Mumbai,Maharashtra + 199 more",10 years old,50k-1 Lakh Employees (India)
104,TVS Motor,4.1,(4.6k Reviews),Public,"Chennai,Tamil Nadu + 243 more",44 years old,10k-50k Employees (India)
105,Cyient,3.7,(3.1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",32 years old,10k-50k Employees (India)
106,Bajaj Allianz Li...,4.1,(3.1k Reviews),Private,Pune + 428 more,22 years old,10k-50k Employees (India)
107,Hyundai Motor,4.2,(4.1k Reviews),Private,Seoul + 236 more,56 years old,10k-50k Employees (India)
108,Oyo Rooms,3.5,(3.2k Reviews),Private,"Gurgaon,Haryana + 107 more",10 years old,1k-5k Employees (India)
109,Megha Engineerin...,4.1,(2.9k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 219 more",34 years old,1k-5k Employees (India)
110,Bosch,4.2,(6.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 85 more",137 years old,5k-10k Employees (India)
111,Omega Healthcare,3.8,(2.9k Reviews),Private,Florida + 30 more,19 years old,5k-10k Employees (India)
112,L&T Construction,4.2,(3.8k Reviews),Public,Chennai + 273 more,79 years old,10k-50k Employees (India)
113,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 35 more,23 years old,1 Lakh+ Employees (India),
114,D Mart,3.9,(2.9k Reviews),Private,"Mumbai,Maharashtra + 172 more",23 years old,10k-50k Employees (India)
115,Atos Syntel,3.7,(4.6k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
116,Manappuram Finan...,4.0,(3.5k Reviews),Public,"Thrissur/Trichur,Kerala + 413 more",74 years old,10k-50k Employees (India)
117,SBI Cards & Paym...,3.8,(2.7k Reviews),Government,"Gurgaon/Gurugram,Haryana + 260 more",25 years old,1k-5k Employees (India)
118,BNY Mellon,4.2,(2.7k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
119,Samsung,4.0,(7.7k Reviews),Public,Seoul + 365 more,85 years old,10k-50k Employees (India)
120,Cummins,4.4,(3.3k Reviews),"Columbus,Indiana + 87 more",61 years old,10k-50k Employees (India),
121,BigBasket,4.1,(2.7k Reviews),Private,"Bangalore,Karnataka + 85 more",12 years old,10k-50k Employees (India)
122,Fullerton India,4.1,(2.7k Reviews),Private,Mumbai + 412 more,16 years old,10k-50k Employees (India)
123,Amdocs,4.0,(2.6k Reviews),Private,"Chesterfield,Missouri + 11 more",41 years old,10k-50k Employees (India)
124,Indiamart Interm...,3.7,(2.7k Reviews),Private,"Noida,Uttar Pradesh + 113 more",27 years old,10k-50k Employees (India)
125,Schneider Electr...,4.2,(4.2k Reviews),Private,Paris + 91 more,24 years old,10k-50k Employees (India)
126,Nagarro,4.5,(2.7k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
127,IQVIA,4.2,(2.7k Reviews),Partnership,Durham + 35 more,41 years old,10k-50k Employees (India)
128,Bosch Global Sof...,4.2,(2.6k Reviews),Private,Gerlingen + 21 more,33 years old,10k-50k Employees (India)
129,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 63 more",62 years old,10k-50k Employees (India),
130,CBRE,4.3,(2.6k Reviews),Private,"Los Angeles,California + 54 more",117 years old,5k-10k Employees (India)
131,UST,3.9,(2.7k Reviews),Private,"Aliso Viejo,California + 30 more",22 years old,10k-50k Employees (India)
132,Ecom Express,4.2,(2.5k Reviews),Private,"Gurgaon,Haryana + 522 more",11 years old,10k-50k Employees (India)
133,JBM Group,4.0,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",40 years old,10k-50k Employees (India)
134,State Bank of In...,3.9,(5.1k Reviews),"Mumbai,Maharashtra + 386 more",217 years old,1 Lakh+ Employees (India),
135,ICICI Lombard Ge...,3.8,(2.5k Reviews),Public,"Mumbai,Maharashtra + 210 more",22 years old,5k-10k Employees (India)
136,Dell,4.2,(3.9k Reviews),Private,"Round Rock,Texas + 82 more",39 years old,10k-50k Employees (India)
137,Godrej & Boyce M...,3.9,(5.2k Reviews),Private,"Mumbai,Maharashtra + 115 more",126 years old,10k-50k Employees (India)
138,Royal Enfield,4.2,(2.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 256 more",122 years old,1k-5k Employees (India)
139,Muthoot Finance,3.6,(2.5k Reviews),Public,"Kochi/Cochin,Kerala + 452 more",84 years old,10k-50k Employees (India)
140,Equitas Small Fi...,4.2,(2.5k Reviews),Private,"Chennai,Tamil Nadu + 305 more",16 years old,10k-50k Employees (India)
141,Ford Motor,4.5,(3k Reviews),Public,"Dearborn,Michigan + 104 more",120 years old,5k-10k Employees (India)
142,Bajaj Auto,4.0,(2.5k Reviews),Public,"Pune,Maharashtra + 211 more",78 years old,201-500 Employees (India)
143,Nagarjuna Constr...,4.1,(2.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 187 more",25 years old,1k-5k Employees (India)
144,Whitehat jr,3.7,(2.4k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
145,GlobalLogic,3.9,(2.4k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
146,Tata Communicati...,4.2,(3.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",37 years old,5k-10k Employees (India)
147,Capgemini Techno...,4.1,(2.4k Reviews),Bengaluru/Bangalore + 26 more,,,
148,Cholamandalam In...,4.1,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 514 more",45 years old,5k-10k Employees (India)
149,Muthoot Fincorp,4.0,(2.4k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 455 more",136 years old,10k-50k Employees (India)
150,Aditya Birla Fas...,4.3,(3.2k Reviews),Private,Mumbai + 200 more,8 years old,10k-50k Employees (India)
151,UnitedHealth,4.2,(4.7k Reviews),Private,"Minnetonka,Minnesota + 12 more",46 years old,10k-50k Employees (India)
152,John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 100 more",22 years old,1k-5k Employees (India)
153,Virtusa Consulti...,3.8,(2.5k Reviews),Private,"Southborough,Massachusetts + 23 more",27 years old,10k-50k Employees (India)
154,LG Electronics,4.1,(2.4k Reviews),Public,"Seoul,Seoul + 207 more",65 years old,10k-50k Employees (India)
155,L&T Financial Se...,4.0,(2.4k Reviews),Public,"Mumbai,Maharashtra + 410 more",29 years old,10k-50k Employees (India)
156,Swiggy,4.0,(2.6k Reviews),Private,"Bangalore,Karnataka + 145 more",9 years old,10k-50k Employees (India)
157,SBI Life Insuran...,3.9,(2.4k Reviews),Government,"Mumbai,Maharashtra + 444 more",22 years old,10k-50k Employees (India)
158,KEC Internationa...,4.1,(2.4k Reviews),Public,"Mumbai,Maharashtra + 215 more",78 years old,5k-10k Employees (India)
159,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 212 more",63 years old,1k-5k Employees (India)
160,Wipro Consumer ...,3.9,(3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 77 more",78 years old,1k-5k Employees (India)
161,Hetero Drugs,3.8,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
162,Optum,4.1,(2.3k Reviews),Private,"Prairie,USA + 20 more",46 years old,10k-50k Employees (India)
163,Motherson Sumi S...,3.9,(3.7k Reviews),Public,"Noida,Uttar Pradesh + 63 more",37 years old,5k-10k Employees (India)
164,Thermax,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 137 more",43 years old,1k-5k Employees (India)
165,Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 115 more,15 years old,201-500 Employees (India)
166,Axis Direct,3.9,(2.3k Reviews),Private,"San Mateo,California + 261 more",12 years old,1k-5k Employees (India)
167,Abbott Healthcar...,4.1,(4.3k Reviews),Public,"Illinois City,Illinois + 152 more",32 years old,10k-50k Employees (India)
168,Ekart Logistics,4.2,(2.2k Reviews),Private,"San Francisco,California + 444 more",14 years old,5k-10k Employees (India)
169,Intas Pharmaceut...,4.3,(2.2k Reviews),Private,"Ahmedabad,Gujrat + 103 more",23 years old,10k-50k Employees (India)
170,Wipro Infotech,4.0,(2.2k Reviews),Private,Bangalore + 113 more,78 years old,1 Lakh+ Employees (Global)
171,Macleods Pharmac...,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 76 more",37 years old,5k-10k Employees (India)
172,Subros,4.0,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 35 more",38 years old,1k-5k Employees (India)
173,Varun Beverages,4.0,(2.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 210 more",28 years old,10k-50k Employees (India)
174,Piramal Capital ...,4.3,(2.2k Reviews),Mumbai + 257 more,3 years old,5k-10k Employees (India),
175,Automatic Data P...,4.2,(2.2k Reviews),New Jersey + 13 more,74 years old,5k-10k Employees (India),
176,L&T Technology S...,3.4,(2.1k Reviews),Public,"Vadodara/Baroda,Gujarat + 25 more",11 years old,10k-50k Employees (India)
177,VE Commercial Ve...,4.0,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 107 more",15 years old,1k-5k Employees (India)
178,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 176 more,26 years old,5k-10k Employees (India)
179,Bharat Electroni...,4.2,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",69 years old,5k-10k Employees (India)
180,Randstad,4.0,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 207 more",31 years old,1k-5k Employees (India)
181,Pidilite Industr...,4.3,(2.2k Reviews),Public,"Mumbai,Maharashtra + 191 more",64 years old,5k-10k Employees (India)
182,Alembic Pharmace...,4.1,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 116 more",116 years old,10k-50k Employees (India)
183,CARS24,3.7,(2.1k Reviews),Private,"Gurgaon,Haryana + 132 more",8 years old,5k-10k Employees (India)
184,Havells,4.2,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 140 more",40 years old,5k-10k Employees (India)
185,Cgi Group,4.1,(2.1k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
186,Indian Air Force,4.6,(2k Reviews),Private,"New Delhi,Delhi + 100 more",91 years old,1 Lakh+ Employees (India)
187,Alkem Laboratori...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 125 more",50 years old,10k-50k Employees (India)
188,American Express,4.4,(2k Reviews),Private,"New York City,New York + 35 more",173 years old,10k-50k Employees (India)
189,Glenmark Pharmac...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 119 more",46 years old,501-1k Employees (India)
190,CMS IT Services,3.1,(2k Reviews),Private,"Bangalore,Karnataka + 122 more",9 years old,5k-10k Employees (India)
191,Deutsche Bank,4.2,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,1k-5k Employees (India)
192,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 20 more,10k-50k Employees (India),
193,Atos,3.8,(7.3k Reviews),Private,"Vilnius,Vilniaus Apskritis + 31 more",26 years old,201-500 Employees (India)
194,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 148 more",11 years old,1k-5k Employees (India)
195,Ipca Laboratorie...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 98 more",74 years old,10k-50k Employees (India)
196,Honda Motorcycle...,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 176 more",24 years old,1k-5k Employees (India)
197,DCB Bank,3.9,(2k Reviews),Private,"Mumbai,Maharashtra + 258 more",93 years old,5k-10k Employees (India)
198,ABB Group,4.1,(2k Reviews),Public,Zurich + 84 more,35 years old,10k-50k Employees (India)
199,Hindalco Industr...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 67 more",65 years old,10k-50k Employees (India)
200,DTDC Express,3.9,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 195 more",33 years old,1k-5k Employees (India)
201,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 55 more",32 years old,5k-10k Employees (India)
202,Simplex Infrastr...,3.6,(2.1k Reviews),Public,"Kolkata,West Bengal + 121 more",99 years old,1k-5k Employees (India)
203,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 392 more",23 years old,10k-50k Employees (India)
204,Team Lease,4.0,(1.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 226 more",7 years old,1k-5k Employees (India)
205,Conduent,3.6,(1.9k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
206,24/7 Customer,3.6,(1.9k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
207,Maersk,4.4,(2.4k Reviews),Private,Copenhagen + 23 more,119 years old,10k-50k Employees (India)
208,Indian Oil Corpo...,4.4,(2.2k Reviews),Private,"Delhi/NCR,Delhi + 193 more",64 years old,10k-50k Employees (India)
209,Suzlon Group,4.1,(1.9k Reviews),Public,"Pune,Maharashtra + 88 more",28 years old,5k-10k Employees (India)
210,Vishal Mega Mart,3.8,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 271 more",15 years old,10k-50k Employees (India)
211,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 125 more",68 years old,5k-10k Employees (India)
212,Standard Charter...,4.0,(3.7k Reviews),Private,London + 56 more,54 years old,5k-10k Employees (India)
213,Arvind Group,4.1,(2.3k Reviews),Public,"Ahmedabad,Gujrat + 121 more",92 years old,10k-50k Employees (India)
214,Publicis Sapien...,3.7,(2k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
215,Muthoot Group,3.7,(4.8k Reviews),Public,"Wedel,Schleswig-holstein + 330 more",136 years old,1k-5k Employees (India)
216,MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 154 more",77 years old,10k-50k Employees (India)
217,KocharTech,4.3,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",28 years old,1k-5k Employees (India)
218,Wipro Enterprise...,3.9,(4.9k Reviews),Bangalore + 70 more,78 years old,1 Lakh+ Employees (India),
219,Bank of America,4.4,(3.1k Reviews),Private,Charlotte + 22 more,25 years old,10k-50k Employees (India)
220,Escorts Kubota L...,4.1,(2.1k Reviews),Public,"Faridabad,Haryana + 109 more",63 years old,10k-50k Employees (India)
221,Titan Company,4.4,(2.6k Reviews),Public,"Mumbai,Maharashtra + 125 more",5 years old,5k-10k Employees (India)
222,Ceat Tyres,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 94 more",65 years old,5k-10k Employees (India)
223,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 170 more",85 years old,1k-5k Employees (India)
224,Jindal Steel and...,4.0,(2.2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",71 years old,5k-10k Employees (India)
